125804,824138,13TH ST & PLUM ST,1,B4-000067,1/1/2014,246,94,1556 GRELL,3021,ACC H&R,,,0,,,,0,0,0,,CRASH NON INJURY,,,13TH ST & PLUM ST,20140101,3,246,CRASH NON INJURY,City_Streets,M,86,,Everett,Southwest Team,http://cjis.lincoln.ne.gov/htbin/cgi.com?cgi=lpdmapir:lpd_calls.com&rky=B4-000067,ACCIDENT,-96.70273618,40.79260938,,,
125805,825314,49TH ST & MEREDETH ST,1,B4-000269,1/1/2014,1958,106,1721 JACOBSEN,3111,ACC PD,RED F150 VS DAVINCI'S VEH,,0,,,,0,0,0,,CRASH NON INJURY,,,49TH ST & MEREDETH ST,20140101,3,1958,CRASH NON INJURY,City_Streets,M,86,,College View,Southeast Team,http://cjis.lincoln.ne.gov/htbin/cgi.com?cgi=lpdmapir:lpd_calls.com&rky=B4-000269,ACCIDENT,-96.65233627,40.77078719,,,
125806,825324,003700 CORNHUSKER HWY,1,B4-000262,1/1/2014,1909,113,1625 KOPSA,3121,ACC PD H&R,HAPPENED AT 27TH/SUPERIOR 10 AGO. WAS HIT BY A YLW SONOMA PU. COULD SE,,0,,,,0,0,0,,CRASH NON INJURY,,,3700 CORNHUSKER HWY,20140101,3,1909,CRASH NON INJURY,City_Points,M,100,,Sunset Acres,Northwest Team,http://cjis.lincoln.ne.gov/htbin/cgi.com?cgi=lpdmapir:lpd_calls.com&rky=B4-000262,ACCIDENT,-96.66755069,40.84592639,,,
125807,825335,001821 A ST,1,B4-000247,1/1/2014,1810,97,1600 MULLENDORE,3111,ACC PD,SOMEONE HIT COMP'S CAR WHILE IT WAS PARKED IN THE ST -WITNESS ON LOC H,,0,,,,0,0,0,,CRASH NON INJURY,,,1821 A ST,20140101,3,1810,CRASH NON INJURY,City_Points,M,100,,Near South,Southwest Team,http://cjis.lincoln.ne.gov/htbin/cgi.com?cgi=lpdmapir:lpd_calls.com&rky=B4-000247,ACCIDENT,-96.69477702,40.7988051,,,
125808,825340,003156 KING RIDGE BLVD,1,B4-000243,1/1/2014,1753,116,1722 SMITH,3000,ACC,IN FRONT - GRY IMPALA VS TAN CAMERY,,0,,,,0,0,0,,CRASH NON INJURY,,,3156 KING RIDGE BLVD,20140101,3,1753,CRASH NON INJURY,City_Points,M,100,,NA,Northwest Team,http://cjis.lincoln.ne.gov/htbin/cgi.com?cgi=lpdmapir:lpd_calls.com&rky=B4-000243,ACCIDENT,-96.67373584,40.86527082,,,
125809,825341,16TH ST & F ST,1,B4-000242,1/1/2014,1734,85,1623 DLOUHY,3211,ACC INJ,BLU CRYSLER TOWN AND COUNTRY AND SLVR CHEVY,,0,,,,0,0,0,,CRASH INJURY,,,16TH ST & F ST,20140101,3,1734,CRASH INJURY,City_Streets,M,86,,Near South,Southwest Team,http://cjis.lincoln.ne.gov/htbin/cgi.com?cgi=lpdmapir:lpd_calls.com&rky=B4-000242,ACCIDENT,-96.69824384,40.80473108,,,
125810,825342,16TH ST & Q ST,1,B4-000241,1/1/2014,1732,73,1638 LIND,3211,ACC INJ,GRY CHEVY SUBURBAN VS LT BLU TOWN AND COUNTRY -NO INJ,,0,,,,0,0,0,,CRASH INJURY,,,16TH ST & Q ST,20140101,3,1732,CRASH INJURY,City_Streets,M,86,,NA,Center Team,http://cjis.lincoln.ne.gov/htbin/cgi.com?cgi=lpdmapir:lpd_calls.com&rky=B4-000241,ACCIDENT,-96.69818081,40.81583054,,,
125811,825344,43RD ST & F ST,1,B4-000238,1/1/2014,1725,55,1652 KAISER,3221,ACC INJ HR,TAN MAZDA TRIBUTE VS MAROON FORD F150    AND ANOTHER PARKED VEH,,0,,,,0,0,0,,CRASH INJURY,,,43RD ST & F ST,20140101,3,1725,CRASH INJURY,City_Streets,M,86,,40th & A,Southeast Team,http://cjis.lincoln.ne.gov/htbin/cgi.com?cgi=lpdmapir:lpd_calls.com&rky=B4-000238,ACCIDENT,-96.65967193,40.80437842,,,
125812,825349,77 HWY S & W VAN DORN ST,1,B4-000233,1/1/2014,1654,168,834 MCGAHAN,3111,ACC PD,BLK SEDAN SLID INTO THE CREEK ON S SIDE /// VEH MAY STAY IN THE CREEK,,0,,,,0,0,0,,CRASH NON INJURY,,,HOMESTEAD EXPY & W VAN DORN ST,20140101,3,1654,CRASH NON INJURY,City_Streets,T,100,,West A,Southwest Team,http://cjis.lincoln.ne.gov/htbin/cgi.com?cgi=lpdmapir:lpd_calls.com&rky=B4-000233,ACCIDENT,-96.7302731,40.78742867,,,
125813,825352,14TH ST & ELBA AVE,1,B4-000229,1/1/2014,1612,129,1722 SMITH,3121,ACC PD H&R,GRY KIA STT147 HIT PARKED GRN EXPLORER THEN LEFT AND PARKED ON LEWIS A,,0,,,,0,0,0,,CRASH NON INJURY,,,14TH ST & ELBA AVE,20140101,3,1612,CRASH NON INJURY,Streets911,M,86,,Belmont,Northwest Team,http://cjis.lincoln.ne.gov/htbin/cgi.com?cgi=lpdmapir:lpd_calls.com&rky=B4-000229,ACCIDENT,-96.70109366,40.85292087,,,
